Entity,Year,fish-discards
Tunisia,1993,9733.46857
Tunisia,1994,9090.399735
Tunisia,1995,9411.060066
Tunisia,1996,9984.442897
Tunisia,1997,11742.01601
Tunisia,1998,12585.92999
Tunisia,1999,13125.71278
Tunisia,2000,13338.92236
Tunisia,2001,13590.31962
Tunisia,2002,13610.1347
Tunisia,2003,13908.92546
Tunisia,2004,14478.68753
Tunisia,2005,13008.52768
Tunisia,2006,12224.19508
Tunisia,2007,11550.19303
Tunisia,2008,10513.13851
Tunisia,2009,10271.43852
Tunisia,2010,11485.30431
Tunisia,2011,11633.33761
Tunisia,2012,13199.63928
Tunisia,2013,13693.17475
Tunisia,2014,13893.96633
Tunisia,2015,14095.99194
Tunisia,2016,13824.3276
Tunisia,2017,12401.33496
Tunisia,2018,13099.76081
Turkey,1950,20456.5844
Turkey,1951,22847.61375
Turkey,1952,23007.01571
Turkey,1953,17826.45212
Turkey,1954,26593.55973
Turkey,1955,22050.60397
Turkey,1956,28718.91915
Turkey,1957,23750.8915
Turkey,1958,21094.4579
Turkey,1959,23220.01657
Turkey,1960,21387.09332
Turkey,1961,19819.4415
Turkey,1962,13655.9656
Turkey,1963,32571.66443
Turkey,1964,30100.93411
Turkey,1965,33873.31424
Turkey,1966,28675.8142
Turkey,1967,47852.73089
Turkey,1968,45362.97124
Turkey,1969,40604.35626
Turkey,1970,39444.36901
Turkey,1971,41698.67079
Turkey,1972,34411.82606
Turkey,1973,18694.03488
Turkey,1974,19837.36343
Turkey,1975,17775.27821
Turkey,1976,20966.31678
Turkey,1977,27396.29785
Turkey,1978,51380.54754
Turkey,1979,81613.02843
Turkey,1980,50400.03198
Turkey,1981,63554.40732
Turkey,1982,69724.65354
Turkey,1983,100133.853
Turkey,1984,81919.71047
Turkey,1985,93323.80862
Turkey,1986,84854.02459
Turkey,1987,94049.8871
Turkey,1988,100802.2711
Turkey,1989,90311.78474
Turkey,1990,68950.11665
Turkey,1991,66043.40797
Turkey,1992,64687.46162
Turkey,1993,68675.63517
Turkey,1994,77671.41999
